Model Size,zen_score
17307958,-0.0595
17525256,1.0980
17959852,2.4020
18047056,2.4590
18574158,3.0660
18499604,3.2150
18940708,3.4300
19327258,3.7300
18952152,3.7710
19404700,4.1880
20160358,4.2270
20606908,4.4450
20024452,4.5660
20732250,4.9900
22066558,4.9900
22593108,5.1170
21176752,5.1370
22017856,5.2270
21214892,5.3300
23706208,5.3950
22409052,5.5900
24899308,5.6170
23184854,5.7230
26172408,5.8120
24543256,5.8600
26838958,5.9100
23142848,5.9300
23721352,5.9450
27525508,6.0160
25465056,6.0400
30471708,6.3630
25314900,6.3900
32064808,6.508
26243946,6.6640
26908448,6.7460
29370104,6.8000
33037656,6.965
28501996,7.0350
33801254,7.242
31154048,7.312
35147452,7.508
35879648,7.7580
