zen_score,Perplexity
-0.0595,225.1700
1.0980,214.6500
2.4020,207.1100
2.4590,183.4400
3.0660,175.9400
3.2150,177.8900
3.4300,174.3200
3.7300,174.0700
3.7710,173.0100
4.1880,168.6900
4.2270,162.4900
4.4450,160.4200
4.5660,159.7000
4.9900,155.1600
4.9900,167.5700
5.1170,168.0800
5.1370,156.2200
5.2270,158.2900
5.3300,163.7900
5.3950,160.6800
5.5900,146.0100
5.6170,159.8200
5.7230,155.8300
5.8120,158.9400
5.8600,154.9400
5.9100,161.8700
5.9300,152.2500
5.9450,148.0300
6.0160,160.1000
6.0400,154.8000
6.3630,173.9400
6.3900,148.3400
6.508,164.65
6.6640,137.5300
6.7460,139.6400
6.8000,150.0500
6.965,155.02
7.0350,147.0300
7.242,149.52
7.312,140.23
7.508,139.48
7.7580,145.5000
